,en,nl,it,de,es,pl,sq,ar,bn,bg,zh,cs,da,fa,fr,el,gu,he,hi,hu,is,id,ja,quc,ko,mt,mam,no,pt,ro,ru,si,sl,sw,ta,tet,tr,tzj,uk,vi,cy
,English,Dutch,Italian,German,Spanish,Polish,Albanian,Arabic,Bengali,Bulgarian,Chinese,Czech,Danish,Farsi,French,Greek,Gujarati,Hebrew,Hindi,Hungarian,Icelandic,Indonesian,Japanese,K'iche',Korean,Maltese,Mam,Norwegian,Portuguese,Romanian,Russian,Sinhalese,Slovenian,Swahili,Tamil,Tetum,Turkish,Tz'utujil,Ukrainian,Vietnamese,Welsh
,Language name in native,Nederlands,Italiano,Deutsch,Español,polski,Shqip,العربيّة, বাংলা ,Български,简体中文,Česky,Dansk,فارسی,français,Ελληνικά,ગુજરાતી,עברית,हिंदी,Magyar,Íslenska,Bahasa,日本語,,한국어,Malti,,Norsk,Português,Română,Русский,සිංහල,Slovenščina,Kiswahili,தமிழ்,Tetun,Türkçe,,Українська,Tiếng Việt,Cymraeg
Main Page,,Startpagina,,Hauptseite,Página principal,Strona główna,,,,Начало,,Hlavní stránka,Forside,صفحه اصلی,Page principale,Κεντρική Σελίδα,,,मुख्य पृष्ठ,,,Beranda,メインページ,Uk'u'x uxaq,메인,,,Hovedside,Página principal,Prima pagină,Главная страница,මුල් පිටුව,Glavna stran,Ukurasa Mkuu,முதற்பக்கம்,,Ana Sayfa,Ruk'ux ja ruxaaq,Головна сторінка,Trang chủ,
,Pictures,Plaatjes,,Bilder,Imágenes,Ilustracje,,,চিত্র ,Изображения,,Obrázky,Billeder,تصاویر,Images,Εικόνες,,,"
चित्र",,Myndir,Foto,画像,Taq wachib'al,사진,,,Bilder,Imagens,Imagini,Изображения,රූප,Slike,Picha,படங்கள்,,Görüntüler,Achib'al,Зображення,Hình ảnh,
,Space Words,Ruimtewoorden,,Weltall-Wörter,Palabras del espacio,Kosmiczne słówka,,,স্পেস শব্দ,Космически думички ,,Vesmírná slova,Rumord,واژه‌های فضایی,Mots sur l'espace,Διαστημική ορολογία,,,"
अंतरिक्ष शब्द",,Hugtök,Istilah Antariksa,天体用語,Taq tzij rech uwakaj,우주 단어,,,Ordliste,Palavras do espaço,Cuvinte din astronomie,Космические миры,අභ්‍යවකාශ වදන්,Vesoljske besede,Maneno ya angani,விண்வெளிச் சொற்கள்,,Uzay Kelimeleri,Tzijoneem rixiin ja kaaj,Космічні слова,,
,Topics,Onderwerpen,,Themen,Temas,Tematy,,,বিষয়,Теми,,Témata,Emner,موضوعات,Thèmes,Θέματα,,,"
विषय",,Viðfangsefni,Topik,トピックス,Taq ub'i' ch'ob'oj,주제,,,Temaer,Temas,Subiecte,Темы,මාතෘකා,Teme,Mada,தலைப்புக்கள்,,Konular,Taq ch'ob'ooj,Теми,Chủ đề,
,Search,Zoek,,Suchen,Búsqueda,Szukaj,,,অনুসন্ধান,Потърси,,Hledej,Søg,جستجو,Recherche,Αναζήτηση,,,"
खोज",,Leit,Cari,検索,Utzukuxik,찾기,,,Søk,Pesquisa,Caută,Поиск,සෙවීම්,Iskanje,Tafuta,தேடல்,,Ara,Konob'al,Пошук,Tìm kiếm,
,News from Across the Universe,Nieuws uit het heelal,,Neuigkeiten aus dem Universum,Noticias del Universo,Nowinki z krańców Wszechświata,,,মহাবিশ্ব জুড়ে থাকা  খবর,Новини от Вселената,,Novinky z vesmíru,Nyheder fra Hele Universet,اخبار سراسر کیهان,Nouvelles de l'Univers,Τα νέα του Σύμπαντος,,,"
विश्व भर से समाचार",,Fréttir af himingeimnum,Berita Antariksa,宇宙ニュース,Ba'onoj rech uwakaj,우주로부터의 소식,,,Nyheter fra verdensrommet,Notícias do Universo,Știri din întregul Univers!,Новости со всей Вселенной,විශ්වයෙන් පුවත්,Novice iz širnega vesolja,Habari za Ulimwengu,பிரபஞ்சச் செய்திகள்,,Evrenin Her Köşesinden Haberler,Rub'i'xiik ja kaaj,Новини з усього Всесвіту,Tin tức toàn vũ trụ,
,Discover more awesome topics!,Ontdek meer gave onderwerpen! ,,Entdecke weitere tolle Themen!,¡Descubre más temas asombrosos!,Poznaj więcej kosmicznych ciekawostek!,,,আবিষ্কার করো আরো বিস্ময়জনক বিষয় ,Открий още интересни теми! ,,Objev více pozoruhodných novinek,Opdag flere fantastiske emner,درباره موضوعات جالب بیشتری بخوانید!,Découvre d'autres sujets passionnants !,Ανκάλυψε κι άλλα καταπλητικά θέματα!,,,"
और अधिक दिलचस्प विषयों की खोज",,Skoðaðu fleiri spennandi viðfangsefni!,Temukan topik keren lainnya,すごいトピックス見つけよう,¡Chariqa' nik'aj chik ayib'al ub'i' ch'ob'oj!,주제별로 찾아보기,,,Opptag flere spennende temaer!,Descobre mais temas fantásticos!,Descoperă mai multe subiecte interesante!,Откройте больше удивительных тем,තවත් වැදගත් මාතෘකා,Odkrij še več čudovitih tem!,Tambua mada mpya!,புதிய தலைப்புக்களை அறிய!,,Birkaç harika konu daha keşfet!,Nawojtaqiij jule naqun chik,Відкрийте більше дивовижних тем!,Khám phá thêm những chủ đề ấn tượng,
,Still curious? Learn more...,Nieuwsgierig? Leer meer...,,Noch neugierig? Lerne mehr...,¿Todavía con curiosidad? Aprende más...,Głodny wiedzy? Przeczytaj więcej...,,,এখনো কৌতুহলী? আরো পড়ো ..,Още си любопитен? Научи повече...,,Chceš ještě víc informací? Tak tudy...,Stadig nysgerrig? Lær mere her...,هنوز کنجکاوید؟ بیشتر بدانید...,Curieuse / Curieux d'en apprendre plus ?,Θά ' θελες να μάθεις παραπάνω? ,,,अब भी उत्सुक ? और अधिक जानें...,,Enn forvitin(n)? Lærðu meira...,Penasaran? Yuk cari tahu...,もっと知りたい方へ,¿K'o kawaj kaweta'maj na? chaweta'maj nik'aj chik...,좀 더 알고 싶으세요? ,,,Fortsatt nysgjerrig? Lær mer ...,Ainda com curiosidade? Aprende mais...,Ești încă curios? Află mai multe...,Еще любопытно? Узнать больше...,වැඩිදුර තොරතුරු,Še radoveden/-a? Preberi več...,Bado una shauku? Jifunze zaidi...,ஆர்வம் இருக்கிறதா? மேலும் அறிய...,,Hala merak ediyor musun? Daha fazlasını öğren...,Nawajb'eej nawojtaqiij jule naqun chik,Все ще зацікавлені? Дізнайтесь більше...,Bạn còn tò mò không? Hãy tìm hiểu...,
